DATE,PRCP
3/3/2011,0
6/3/2015,0
8/6/2018,0.03
10/18/2020,0.04
12/16/2010,0
5/22/2018,1.25
9/10/2020,0.02
8/11/1993,0
5/21/2020,0
7/12/2011,0
8/4/2018,0
7/28/2009,0
8/18/2009,0
3/5/1990,0
3/20/2008,0
10/21/1988,0
4/30/2010,0
4/19/1992,0
10/31/2017,0
11/24/2010,0
12/20/2020,0.05
9/18/1994,0
10/26/2016,0
2/8/2019,0.16
8/11/2013,0.1
5/23/1995,0
5/8/2014,0.02
1/2/2017,0.01
8/4/2016,0
5/14/1989,0
9/27/1996,
4/10/2010,0
4/21/2010,0
3/10/2019,0.01
4/13/2011,0
1/23/2019,0.21
1/11/2021,3.1
9/24/1989,0
7/12/2018,0
10/13/1988,0
3/27/2009,0.57
1/30/2010,0
9/19/1988,0
7/30/2009,0
3/5/2012,0
6/6/2013,0
10/2/2011,0
6/12/2009,0
11/14/2013,0
8/4/2018,0
10/5/2019,0
6/22/2010,0
7/9/2017,0
9/3/2008,0
6/7/2016,0
6/30/2018,0
12/24/2008,0.02
4/26/2011,0
9/6/2013,0.24
11/29/1990,0
3/28/1994,0
3/21/1998,0
4/1/2017,0
8/16/2018,0
2/11/2021,0
3/9/2019,0
3/21/2014,0
10/26/2014,0
11/14/2018,0
5/15/1992,1.4
5/21/2013,0
8/16/2017,
9/7/2010,1.6
12/22/2008,0.11
10/20/2020,0.02
4/12/2010,0
12/19/2014,0
8/10/2017,0
6/17/2019,0.31
2/26/2013,0
5/28/1995,0
3/14/2019,0
1/24/1995,0
2/17/2010,0
6/3/2014,0
9/11/2018,2.96
9/16/1995,0
10/29/1996,0
4/6/2016,0
1/12/1994,0.35
2/1/1996,0
8/16/2015,0
10/28/2009,0
2/13/2014,0
11/1/2020,0
3/10/2010,0
3/3/2012,0
1/31/2009,0
6/12/2020,0
1/31/2021,0
1/29/2008,0
7/13/2014,0
1/7/2017,0
12/5/2019,0
6/17/1992,0
12/10/2012,0
12/31/2018,0.06
7/25/2020,0.31
2/15/1998,0
3/25/2020,0
1/19/2016,0
9/12/2011,0
11/27/2014,0
8/5/2017,0
5/1/1991,0
1/30/2011,0
10/24/2017,0
7/28/1995,0
10/1/2010,0
8/29/2009,0
12/9/2009,0.02
12/12/1996,0
3/11/2018,0
2/10/2014,0.02
7/15/1997,0
1/31/2015,0.01
8/4/2020,0
12/2/2008,0
12/6/2013,0
9/14/2012,0
11/6/2014,1.08
12/19/1990,0
7/7/1997,0
8/10/2016,0
9/11/2014,0
7/14/2014,0
9/5/2017,0
9/21/2018,0.04
12/8/2010,0
10/8/2012,0
1/10/1989,0
4/21/2008,0
5/24/2017,0.22
10/9/2020,0
4/14/2013,0
10/7/1995,0
3/18/2017,0
4/5/2011,0
7/5/2017,0
4/24/2020,0
8/13/2020,0
5/25/2020,0.77
1/18/1996,0
3/12/1994,0
8/13/2017,0
8/5/2019,0
5/24/2014,0
8/15/1990,0
1/12/1997,0
3/10/2018,0
4/23/1989,0
3/3/1997,0
4/3/2015,0
10/29/2014,0
12/28/2016,0
10/8/2008,0.36
5/17/2017,0
9/22/2019,0
9/17/2019,0.01
5/23/2010,0
5/17/2020,0.03
12/12/2010,0
9/19/1997,0
12/29/2016,0
4/5/2020,0.3
6/19/2011,0
1/22/2017,0
4/22/2015,0.01
11/17/2018,0
8/22/2014,0
2/11/2020,0
5/4/2012,0
3/2/2017,
12/3/2020,0
1/10/2015,0.42
9/29/2019,0.25
6/14/2018,0.07
11/22/1991,0
2/23/2013,0
5/3/2009,0
1/1/2015,0.02
8/20/2015,0.03
10/17/2016,0
4/12/2011,0.02
11/2/2015,0
5/8/2018,0
6/10/2009,0
4/26/2019,0
4/28/2020,0
1/1/2012,0
11/22/2008,0
8/15/1995,0
2/10/2009,0.01
10/7/2018,0
12/1/1994,0
8/19/2008,0.33
2/18/1994,0
3/21/2017,0
3/11/2011,0
11/22/2018,0.17
8/4/2020,0
4/28/2009,0
3/14/2017,0
12/18/1992,0
12/14/1995,0
12/18/2017,0.02
5/7/2015,0
4/3/2014,0
4/14/2018,0.08
1/15/1989,0
5/4/1992,1.81
5/28/2020,0
8/26/1989,0
10/17/2010,0
12/11/2014,0
1/4/2016,0.03
11/19/2015,0
6/7/2018,0
6/26/1990,0
2/27/2018,0.04
1/29/1995,0
9/14/2008,0
11/1/2009,0
12/16/2019,0
2/9/2009,0
11/27/2018,0
1/15/2020,0
4/15/2013,0
2/1/2014,0
9/16/2015,0
6/10/2016,0
8/12/2015,0
5/1/1995,0
10/10/2013,0
11/24/2008,0.02
5/27/2015,0
1/3/2018,0
8/20/2018,0
5/20/2019,0
11/7/2012,0
7/31/2010,0
12/25/2015,0
9/10/2015,0
12/6/2018,0
7/6/2019,0
4/15/2017,0
5/26/2020,0.47
8/16/2019,0
10/28/1996,0
1/23/2009,0
5/17/2019,0
9/15/1995,0
1/12/2009,0
10/2/2015,0
8/13/2018,0
3/29/2020,0
7/19/2010,0.32
4/14/2014,0
6/7/2019,0.15
12/29/2010,0.03
11/15/2016,0
1/5/2018,0
10/8/2007,0.91
8/10/2010,0
8/22/2012,0
2/16/2016,0
3/24/2009,0
9/17/2016,0
2/2/2017,0
1/2/2012,0
11/22/2008,0
10/29/2015,0
4/13/2016,0.02
11/17/2016,0
7/28/2020,0.01
1/19/2011,0
8/20/2012,0
1/30/2008,0
6/20/2014,0
12/25/2011,0.06
12/17/2011,0
4/23/2009,0
10/12/2018,0
9/28/2019,0
11/28/2011,0
10/15/2016,0
8/19/2016,0
10/26/2013,0
6/28/2013,0
2/28/2014,0
10/9/2011,0
9/13/2014,0.43
9/20/2017,0
5/21/1998,0
11/2/2016,0
3/14/2018,0
4/20/1996,0
1/26/2020,0.02
1/11/1995,0
6/15/2017,0
9/7/2020,0
9/28/2015,0
9/5/2017,0
8/21/2020,0
3/6/2014,0
1/21/2008,0.01
10/21/2016,0.07
5/9/2013,0
2/10/2018,0.27
9/15/2018,4.4
5/7/2018,0
11/12/2016,0.01
4/7/2018,0
3/8/2016,0
8/11/2008,0
12/12/2014,0
10/11/1995,0
7/23/2009,0
8/22/2018,0
8/17/1991,0
3/13/2020,0
7/11/2016,0
12/26/2018,0
2/18/2009,0
7/5/2013,0
4/12/1998,0
5/14/2015,0.03
6/5/2020,0
1/27/2019,0.64
9/9/2015,0
1/13/2016,0
6/16/1989,0
6/20/2013,0
7/15/2017,0
5/6/2020,0
9/26/1993,0.2
6/18/2019,0
10/19/2010,0
5/11/2017,0
12/17/2013,0
3/10/2014,0
2/1/2019,0.18
7/27/2019,0
1/7/2011,0
11/29/2019,0.07
5/20/2013,0
12/21/2017,0
4/14/2018,0.03
11/28/2020,0.46
5/31/2019,0
12/24/2013,0
6/12/2020,0
4/19/2009,0
7/7/2010,0
7/1/2016,0.01
11/26/2018,0
1/7/2019,0
10/19/2018,1.51
7/12/2017,0
8/2/1992,0
9/15/2016,0.23
5/26/1995,0
3/27/2014,0.04
10/13/2016,0
4/5/2018,0
3/19/2014,0
9/28/2014,0.95
12/13/1991,0
1/15/2014,0
12/29/2018,0
10/27/2019,0
11/20/2020,0
5/2/2010,0
12/3/2017,0
9/27/2018,2.84
3/31/1996,0
12/21/2015,0
12/18/2007,0
3/28/2011,0
3/21/2016,0
1/20/2021,0
6/3/1995,0
5/16/2010,0.72
10/29/2017,0
6/23/2009,0
6/13/2017,0
6/19/2014,0
5/2/2015,0
8/26/2010,0
1/27/2020,0.02
3/26/1989,0
7/6/2009,0
5/3/2016,0
1/7/2020,0
3/4/2017,0.02
5/22/2020,0
10/25/2020,0
6/15/1989,0
9/13/1993,0.05
11/29/2014,0
2/12/1994,0
3/11/2011,0
11/3/2018,0
7/22/2018,0
2/24/1996,0
5/2/2009,0
6/16/2017,0
10/6/2013,0
5/25/2017,0
8/15/1991,0
10/16/1990,0
2/12/2011,0
6/11/1996,0
6/16/2010,0
11/3/2019,0
3/19/1990,0
7/1/1998,0
1/7/1990,0.33
9/24/2008,0.1
12/22/2019,0.01
4/2/2020,0
2/16/2019,0
5/3/2018,0
12/13/2017,0
5/22/2018,0.23
5/24/2013,0
8/20/2009,0
6/22/2019,0
2/10/2008,0
11/22/1995,0
12/27/2013,0.23
5/9/2010,0
11/7/2017,0
11/16/2015,0
5/9/2017,0
12/30/2013,0
10/26/1992,0
6/15/2013,0.02
1/1/1990,0
9/23/2009,1
9/6/2010,0.51
1/8/2020,0
9/23/1991,0.12
6/17/2014,0
9/4/2020,0
4/12/2010,0
10/23/2013,0.02
10/21/1993,0
7/2/2018,0
7/13/2020,0
10/27/2015,0
10/25/2012,0
12/9/2020,0
1/6/2021,0
4/1/2020,0
1/4/2020,0
3/4/2020,0
1/28/2018,2.06
3/18/2019,0.08
12/18/2013,0
5/19/2019,0
5/17/1991,0
2/23/2018,0.02
2/11/2015,0
10/29/2013,0
9/1/2015,0.14
10/27/2014,0
9/29/2019,0
1/27/2010,0
11/6/2015,0
11/24/1991,0
12/21/1992,0
6/23/2017,0
8/21/2017,0
5/2/2012,0
8/30/2017,0
11/16/2010,0
2/18/2019,0.03
2/28/2012,0.02
11/20/2014,0.09
12/30/2008,0
2/22/2014,0
7/8/2018,3.14
8/12/2019,0
3/4/2011,0
10/30/2008,0
